version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-listenplatz
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Schneider;;Chavva;;1970;W;Lektorin, Übersetzerin;1;9
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Behringer;;Steffen;;1977;M;Dipl. Chemieingenieur (FH);2;0
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Terspecken;;Sabine;;1968;W;Erzieherin;3;5
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Fuchs;;Sebastian;;1979;M;Studienrat;4;0
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Kastenholz;;Susanne;;1983;W;Bachelor of Physical Engeneering;5;3
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Fuchs;;Inge;;1953;W;Pensionärin;6;7
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Grömping;;Christian;;1966;M;Physiotherapeut;7;2
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Saßenscheidt;;Heinrich Wolfgang;;1966;M;IT Fachmann;8;8
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Oerter;;Kerstin;Dr.;1958;W;Dipl. Biologin;9;1
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Schallenberg;;Peter;;1955;M;Selbstständig;10;4
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Borsch;;Ingrid;;1950;W;Studienrätin a.D.;11;0
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Eiden;;Henning;;1974;M;Fachinformatiker / Projekt Manager;12;6
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Borsch;;Georg;;1947;M;Lehrer a.D.;13;0
