version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-listenplatz
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;TIERSCHUTZ hier!;Aktion Partei für Tierschutz;Krüger;;Claudia;;1966;W;Verwaltungswirtin;;
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;AfD;Alternative für Deutschland;Hoffmann;;Florian Josef;;1946;M;Rechtsanwalt;;
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Engstfeld;;Stefan;;1970;M;Mitglied des Landtages NRW;;
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;CDU;Christlich Demokratische Union Deutschlands;Keller;;Stephan;Dr.;1970;M;Stadtdirektor;;
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;DSP;Deutsche Sportpartei;Brakonier;;Markus;;1970;M;Lagerist;;
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;DIE LINKE;DIE LINKE;Bonn;;Udo Adam;;1953;M;Rentner;;
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;REP;DIE REPUBLIKANER;Maniera;;Andre;;1973;M;Rechtsanwalt;;
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Einzelbewerber#Michael Baumeister;Baumeister;;Michael;;1968;M;Gastronom;;
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;FDP;Freie Demokratische Partei;Strack-Zimmermann;;Marie-Agnes;Dr.;1958;W;selbständige Verlagsrepräsentantin;;
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;;Klimaliste Düsseldorf;Coldewe;;Celine;;1996;W;Studentin der Medien und Kulturwissenschaften;;
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Mirus;;Dominique;;1988;W;Künstlerin;;
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;PIRATEN;Piratenpartei Deutschland;Olejak;;Marc;;1971;M;IT Consultant;;
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;SPD;Sozialdemokratische Partei Deutschlands;Geisel;;Thomas;;1963;M;Oberbürgermeister;;
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;FREIE WÄHLER;Unabhängige Wählergemeinschaft für Düsseldorf;Grumbach;;Hans-Joachim;Dr.;1967;M;Verwaltungsangestellter;;
0.3;05111000;13.09.2020;Oberbürgermeisterwahl NRW;Volt;Volt Deutschland;Schenk;;Mark;;1960;M;selbständiger Unternehmensberater;;
