version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-listenplatz
0.2;05914000;13.09.2020;Ratswahl;SPD;Sozialdemokratische Partei Deutschlands;Machinek;;Matthias Ulrich Georg;;;;;01;
0.2;05914000;13.09.2020;Ratswahl;CDU;Christlich Demokratische Union Deutschlands;Fischer;;Benjamin Tobias;;;;;01;
0.2;05914000;13.09.2020;Ratswahl;GRÜNE;Bündnis 90/Die Grünen;Panzer;;Hans-Georg Erwin Wilhelm;;;;;01;
0.2;05914000;13.09.2020;Ratswahl;;HAGEN AKTIV;Masuch;;Gertrud;;;;;01;
0.2;05914000;13.09.2020;Ratswahl;DIE LINKE;Die Linke;Hentschel;;Kevin Ingo;;;;;01;
0.2;05914000;13.09.2020;Ratswahl;AfD;Alternative für Deutschland;Zimmer;;Michael Manfred;;;;;01;
0.2;05914000;13.09.2020;Ratswahl;FDP;Freie Demokratische Partei;Geisler;;Hans-Joachim;;;;;01;
0.2;05914000;13.09.2020;Ratswahl;PIRATEN;Piratenpartei Deutschland;Specht;;Christian;;;;;01;
0.2;05914000;13.09.2020;Ratswahl;REP;DIE REPUBLIKANER;Richter;;Peter;;;;;01;
0.2;05914000;13.09.2020;Ratswahl;HAK;Hagener Aktivisten-Kreis;Büyükaltay;;Harun;;;;;01;
0.2;05914000;13.09.2020;Ratswahl;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Altmann;;Michael Alexander;;;;;01;
0.2;05914000;13.09.2020;Ratswahl;SPD;Sozialdemokratische Partei Deutschlands;Pinkvoss;;Kirsten;;;;;02;
0.2;05914000;13.09.2020;Ratswahl;CDU;Christlich Demokratische Union Deutschlands;Niemann;;Corinna Bettina;;;;;02;
0.2;05914000;13.09.2020;Ratswahl;GRÜNE;Bündnis 90/Die Grünen;Freund;;Elke;;;;;02;
0.2;05914000;13.09.2020;Ratswahl;;HAGEN AKTIV;Ribaudo;;Pina;;;;;02;
0.2;05914000;13.09.2020;Ratswahl;DIE LINKE;Die Linke;Hentschel;;Elke;;;;;02;
0.2;05914000;13.09.2020;Ratswahl;AfD;Alternative für Deutschland;Michels;;Saskia;;;;;02;
0.2;05914000;13.09.2020;Ratswahl;FDP;Freie Demokratische Partei;Enders;;Peter;Prof. Dr.;;;;02;
0.2;05914000;13.09.2020;Ratswahl;PIRATEN;Piratenpartei Deutschland;Bensch;;Christian;;;;;02;
0.2;05914000;13.09.2020;Ratswahl;;Einzelbewerber Dervishi;Dervishi;;Bledi;;;;;02;
0.2;05914000;13.09.2020;Ratswahl;REP;DIE REPUBLIKANER;Flebus;;Franco;;;;;02;
0.2;05914000;13.09.2020;Ratswahl;HAK;Hagener Aktivisten-Kreis;Orak;;Hakan;;;;;02;
0.2;05914000;13.09.2020;Ratswahl;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Jasper;;Henning Malte Thorben;;;;;02;
0.2;05914000;13.09.2020;Ratswahl;SPD;Sozialdemokratische Partei Deutschlands;Borchert;;Fleming;;;;;03;
0.2;05914000;13.09.2020;Ratswahl;CDU;Christlich Demokratische Union Deutschlands;Andjelkovic;;Alexander;;;;;03;
0.2;05914000;13.09.2020;Ratswahl;GRÜNE;Bündnis 90/Die Grünen;Reh;;Frank Klaus;;;;;03;
0.2;05914000;13.09.2020;Ratswahl;;HAGEN AKTIV;Schuchardt;;Kirsten;;;;;03;
0.2;05914000;13.09.2020;Ratswahl;DIE LINKE;Die Linke;Hentschel;;Marcel Rüdiger;;;;;03;
0.2;05914000;13.09.2020;Ratswahl;AfD;Alternative für Deutschland;Pietsch;;Max Roland;;;;;03;
0.2;05914000;13.09.2020;Ratswahl;FDP;Freie Demokratische Partei;Gödde sen.;;Franz Klemens;;;;;03;
0.2;05914000;13.09.2020;Ratswahl;PIRATEN;Piratenpartei Deutschland;Fritsch;;Oskar Alexander;;;;;03;
0.2;05914000;13.09.2020;Ratswahl;REP;DIE REPUBLIKANER;Lubinski;;Tanja;;;;;03;
0.2;05914000;13.09.2020;Ratswahl;HAK;Hagener Aktivisten-Kreis;Gül;;Faruk Tunahan;;;;;03;
0.2;05914000;13.09.2020;Ratswahl;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Wiehagen;;Bastian;;;;;03;
0.2;05914000;13.09.2020;Ratswahl;SPD;Sozialdemokratische Partei Deutschlands;Wiegmann;;David;;;;;04;
0.2;05914000;13.09.2020;Ratswahl;CDU;Christlich Demokratische Union Deutschlands;Schmidt;;Gerold Emanuel;;;;;04;
0.2;05914000;13.09.2020;Ratswahl;GRÜNE;Bündnis 90/Die Grünen;Kretschmann;;Michael;;;;;04;
0.2;05914000;13.09.2020;Ratswahl;;HAGEN AKTIV;Filthaus;;Beate Hedwig;;;;;04;
0.2;05914000;13.09.2020;Ratswahl;DIE LINKE;Die Linke;Hasenberg;;Marvin;;;;;04;
0.2;05914000;13.09.2020;Ratswahl;AfD;Alternative für Deutschland;Herbert;;Heidi;;;;;04;
0.2;05914000;13.09.2020;Ratswahl;FDP;Freie Demokratische Partei;Röhr;;Bernd;;;;;04;
0.2;05914000;13.09.2020;Ratswahl;PIRATEN;Piratenpartei Deutschland;Gullo;;Stefanie;;;;;04;
0.2;05914000;13.09.2020;Ratswahl;REP;DIE REPUBLIKANER;Kempe;;Andreas;;;;;04;
0.2;05914000;13.09.2020;Ratswahl;HAK;Hagener Aktivisten-Kreis;Caliskan;;Fatih;;;;;04;
0.2;05914000;13.09.2020;Ratswahl;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Imeri;;Aysen Melis;;;;;04;
0.2;05914000;13.09.2020;Ratswahl;SPD;Sozialdemokratische Partei Deutschlands;Szuka;;Nils;;;;;05;
0.2;05914000;13.09.2020;Ratswahl;CDU;Christlich Demokratische Union Deutschlands;Treß;;Stephan;;;;;05;
0.2;05914000;13.09.2020;Ratswahl;GRÜNE;Bündnis 90/Die Grünen;Riechel;;Joachim;;;;;05;
0.2;05914000;13.09.2020;Ratswahl;;HAGEN AKTIV;Homburg;;Axel Tobias;;;;;05;
0.2;05914000;13.09.2020;Ratswahl;DIE LINKE;Die Linke;Wenzel;;Fritz-Alfred;;;;;05;
0.2;05914000;13.09.2020;Ratswahl;AfD;Alternative für Deutschland;Köchling;;Jonas;;;;;05;
0.2;05914000;13.09.2020;Ratswahl;FDP;Freie Demokratische Partei;Graf;;Katja;;;;;05;
0.2;05914000;13.09.2020;Ratswahl;PIRATEN;Piratenpartei Deutschland;Schaepe;;Martin;;;;;05;
0.2;05914000;13.09.2020;Ratswahl;REP;DIE REPUBLIKANER;Lubinski;;Sebastian;;;;;05;
0.2;05914000;13.09.2020;Ratswahl;HAK;Hagener Aktivisten-Kreis;Chennoufi;;Karim;;;;;05;
0.2;05914000;13.09.2020;Ratswahl;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;Lehmacher;;Björn;;;;;05;
0.2;05914000;13.09.2020;Ratswahl;SPD;Sozialdemokratische Partei Deutschlands;Peters;;Christian Peter;;;;;06;
