version;wahl-behoerde-gs;wahl-datum;wahl-name;partei-kurzname;partei-langname;kandidat-name;kandidat-namensvorsatz;kandidat-vorname;kandidat-akadgrad;kandidat-geburtsjahr;kandidat-geschlecht;kandidat-beruf;kandidat-gebiet-nr;kandidat-listenplatz
0.2;05366004;13.09.2020;Ratswahl NRW;AfD;Alternative für Deutschland;Reinartz;;Karl-Josef;;1960;M;Landwirt;1;6
0.2;05366004;13.09.2020;Ratswahl NRW;AfD;Alternative für Deutschland;Poll;;Frank;;1973;M;Generalbevollmächtigter;2;1
0.2;05366004;13.09.2020;Ratswahl NRW;AfD;Alternative für Deutschland;Hennig;;Frank;;1961;M;Kunststoffformgeber;3;8
0.2;05366004;13.09.2020;Ratswahl NRW;AfD;Alternative für Deutschland;Deutsch;;Monika;;1969;W;Rentnerin;4;11
0.2;05366004;13.09.2020;Ratswahl NRW;AfD;Alternative für Deutschland;Deutsch;;Daniel;;1996;M;Elektroniker für Betriebstechnik;5;12
0.2;05366004;13.09.2020;Ratswahl NRW;AfD;Alternative für Deutschland;von der Heyde;;Markus;;1966;M;Rentner;6;7
0.2;05366004;13.09.2020;Ratswahl NRW;AfD;Alternative für Deutschland;Zotz;;Doris;;1970;W;Pflegedienstleiterin;7;0
0.2;05366004;13.09.2020;Ratswahl NRW;AfD;Alternative für Deutschland;Knie;;Manfred;;1959;M;Polizeibeamter;8;2
0.2;05366004;13.09.2020;Ratswahl NRW;AfD;Alternative für Deutschland;Dannenfeld;;Klaus;;1955;M;selbständiger Buchhalter;9;0
0.2;05366004;13.09.2020;Ratswahl NRW;AfD;Alternative für Deutschland;Zirke;;Hermann;;1963;M;Busfahrer;10;4
0.2;05366004;13.09.2020;Ratswahl NRW;AfD;Alternative für Deutschland;Heiter;;Sascha;;1972;M;Industriemeister;11;9
0.2;05366004;13.09.2020;Ratswahl NRW;AfD;Alternative für Deutschland;Zirke;;Birgit;;1967;W;Chemielaborjungwerkerin;12;5
0.2;05366004;13.09.2020;Ratswahl NRW;AfD;Alternative für Deutschland;Poll;;Anja;;1962;W;Geschäftsführerin;13;10
0.2;05366004;13.09.2020;Ratswahl NRW;AfD;Alternative für Deutschland;Deutsch;;Harry;;1964;M;Justizbeamter;14;3
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Pütz;;Klaus;;1965;M;Dipl.-Ing. Nachrichtentechnik;1;4
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Lorenz;;Herbert;;1955;M;Vermessungstechniker;2;10
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Reger;;Dagmar;;1958;W;Buchhalterin;3;11
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Wassermann;;Corinna;;1987;W;Ökotrophologin;4;3
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Jenke;;Jörg;;1984;M;Fachinformatiker für Systemintegration;5;2
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Geschwind;;Wilhelm;;1953;M;Musiker;6;14
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Weißenfeld;;Dagmar;;1959;W;Steuerberaterin;7;7
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Thiesen;;Horst;;1959;M;Programmierer;8;18
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Thelen;;Jennifer;;1988;W;Biologin;9;5
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Jäck;;Eckhard;;1967;M;Förster;10;6
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Wolf;;Simone;;1963;W;Heilpraktikerin;11;9
0.2;05366004;13.09.2020;Ratswahl NRW;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;Hövel;;Elisabeth;;1956;W;Krankenschwester;12;15
